12n57,"[1/2, 2/3, -2/3, -3/5]"
12n58,"[1/2, 2/3, 2/3, -2/5]"
12n59,"[1/2, 2/3, -1/3, -3/5]"
12n60,"[1/2, 2/3, -2/3, 3/5]"
12n61,"[1/2, -2/3, 2/3, 3/5]"
12n62,"[1/2, -2/3, 2/3, 2/5]"
12n63,"[1/2, 2/3, -1/3, -2/5]"
12n64,"[1/2, -2/3, 1/3, 3/5]"
12n65,"[1/2, -3/5, 4/9]"
12n66,"[1/2, 2/3, -2/3, 2/5]"
12n67,"[1/2, -2/3, 1/3, 2/5]"
12n77,"[1/2, -2/3, 9/11]"
12n78,"[1/2, 2/3, -2/11]"
12n79,"[1/2, 2/3, -9/11]"
12n121,"[1/2, -2/3, 2/11]"
12n142,"[2/3, -2/5, -5/8]"
12n143,"[2/3, -2/5, -3/8]"
12n144,"[3/5, -3/5, 3/4]"
12n145,"[3/5, -3/5, 1/4]"
12n146,"[2/3, -2/5, -5/7]"
12n147,"[3/5, 3/5, -3/5]"
12n148,"[2/3, -2/5, -3/7]"
12n149,"[2/3, -2/5, -1/5]"
12n150,"[1/2, -2/3, 13/21]"
12n151,"[1/2, 2/3, -8/21]"
12n152,"[1/2, 2/3, -13/21]"
12n153,"[1/2, -2/3, 5/17]"
12n154,"[1/2, 2/3, -12/17]"
12n155,"[1/2, 2/3, -5/17]"
12n159,"[1/2, -2/3, 12/17]"
12n160,"[1/2, -2/3, 12/19]"
12n161,"[1/2, 2/3, -7/19]"
12n162,"[1/2, 2/3, -12/19]"
12n163,"[1/2, -2/3, 11/19]"
12n164,"[1/2, 2/3, -8/19]"
12n165,"[1/2, 2/3, -11/19]"
12n166,"[1/2, -2/3, 9/13]"
12n167,"[1/2, 2/3, -4/13]"
12n168,"[1/2, 2/3, -9/13]"
12n169,"[1/2, -2/3, 11/15]"
12n170,"[1/2, 2/3, -4/15]"
12n171,"[1/2, 2/3, -11/15]"
12n172,"[1/2, -2/3, 7/19]"
12n198,"[1/2, -2/3, 8/21]"
12n199,"[1/2, -2/3, 4/13]"
12n200,"[1/2, -2/3, 4/15]"
12n218,"[1/2, -2/3, 8/19]"
12n219,"[1/2, 2/3, 3/5, -2/3]"
12n220,"[1/2, 2/3, -3/5, -1/3]"
12n221,"[1/2, 2/3, -3/5, -2/3]"
12n222,"[1/2, 2/3, 3/5, -1/3]"
12n223,"[1/2, 2/3, -3/5, 2/3]"
12n224,"[1/2, 2/3, -3/5, 1/3]"
12n225,"[1/2, 2/3, -2/5, -1/3]"
12n229,"[1/2, -2/3, 2/5, 1/3]"
12n233,"[1/2, -2/3, 6/7]"
12n234,"[1/2, 2/3, -1/7]"
12n235,"[1/2, 2/3, -6/7]"
12n236,"[1/2, -2/3, 10/13]"
12n237,"[1/2, 2/3, -3/13]"
12n238,"[1/2, 2/3, -10/13]"
12n239,"[1/2, -2/3, 10/17]"
12n240,"[1/2, 2/3, -7/17]"
12n241,"[1/2, 2/3, -10/17]"
12n242,"[1/2, -2/3, 1/7]"
12n243,"[1/2, -2/3, 3/13]"
12n244,"[1/2, -2/3, 7/17]"
12n248,"[1/2, -2/3, 6/11]"
12n249,"[1/2, 2/3, -5/11]"
12n250,"[1/2, 2/3, -6/11]"
12n251,"[1/2, -2/3, 5/11]"
12n261,"[1/2, -2/3, 3/5, 1/3]"
12n271,"[2/3, -3/5, 3/8]"
12n272,"[2/3, -3/5, 5/8]"
12n273,"[3/5, -2/5, -1/4]"
12n274,"[3/5, -2/5, -3/4]"
